Image 1,Image 2,Distance
3000.jpg,3000.jpg,0
3000.jpg,3001.jpg,1
3000.jpg,3002.jpg,9
3000.jpg,3003.jpg,403
3000.jpg,3004.jpg,9
3000.jpg,3005.jpg,0
3000.jpg,3006.jpg,0
3000.jpg,3007.jpg,16
3000.jpg,3008.jpg,2
3000.jpg,3009.jpg,1
3000.jpg,3010.jpg,5
3000.jpg,3011.jpg,1
3000.jpg,3012.jpg,11
3000.jpg,3013.jpg,7
3000.jpg,3014.jpg,69
3000.jpg,3015.jpg,7
3000.jpg,3016.jpg,0
3000.jpg,3017.jpg,428
3000.jpg,3018.jpg,5
3000.jpg,3019.jpg,10
3000.jpg,3020.jpg,210
3000.jpg,3021.jpg,8
3000.jpg,3022.jpg,1
3000.jpg,3023.jpg,7
3000.jpg,3024.jpg,1
3000.jpg,3025.jpg,12
3000.jpg,3026.jpg,9
3000.jpg,3027.jpg,2
3000.jpg,3028.jpg,1369
3000.jpg,3029.jpg,227
3000.jpg,3030.jpg,4
3000.jpg,3031.jpg,12
3000.jpg,3032.jpg,13
3000.jpg,3033.jpg,6
3000.jpg,3034.jpg,47
3000.jpg,3035.jpg,5
3000.jpg,3036.jpg,6
3000.jpg,3037.jpg,13
3000.jpg,3038.jpg,14
3000.jpg,3039.jpg,7
3000.jpg,3040.jpg,8
3000.jpg,3041.jpg,237
3000.jpg,3042.jpg,7
3000.jpg,3043.jpg,166
3000.jpg,3044.jpg,10
3000.jpg,3045.jpg,5
3000.jpg,3046.jpg,0
3000.jpg,3047.jpg,11
3000.jpg,3048.jpg,7
3000.jpg,3049.jpg,2
3000.jpg,3050.jpg,3
3000.jpg,3051.jpg,10
3000.jpg,3052.jpg,1
3000.jpg,3053.jpg,8
3000.jpg,3054.jpg,0
3000.jpg,3055.jpg,1
3000.jpg,3056.jpg,11
3000.jpg,3057.jpg,1493
3000.jpg,3058.jpg,2
3000.jpg,3059.jpg,8
3000.jpg,3060.jpg,9
3000.jpg,3061.jpg,8
3000.jpg,3062.jpg,9
3000.jpg,3063.jpg,316
3000.jpg,3064.jpg,15
3000.jpg,3065.jpg,10
3000.jpg,3066.jpg,0
3000.jpg,3067.jpg,1
3000.jpg,3068.jpg,444
3000.jpg,3069.jpg,1
3000.jpg,3070.jpg,0
3000.jpg,3071.jpg,10
3000.jpg,3072.jpg,1843
3000.jpg,3073.jpg,1
3000.jpg,3074.jpg,11
3000.jpg,3075.jpg,17
3000.jpg,3076.jpg,3
3000.jpg,3077.jpg,0
3000.jpg,3078.jpg,24
3000.jpg,3079.jpg,2
3000.jpg,3080.jpg,5
3000.jpg,3081.jpg,9
3000.jpg,3082.jpg,7
3000.jpg,3083.jpg,276
3000.jpg,3084.jpg,1
3000.jpg,3085.jpg,6
3000.jpg,3086.jpg,0
3000.jpg,3087.jpg,5
3000.jpg,3088.jpg,1
3000.jpg,3089.jpg,467
3000.jpg,3090.jpg,7
3000.jpg,3091.jpg,10
3000.jpg,3092.jpg,11
3000.jpg,3093.jpg,12
3000.jpg,3094.jpg,7
3000.jpg,3095.jpg,6
3000.jpg,3096.jpg,0
3000.jpg,3097.jpg,0
3000.jpg,3098.jpg,175
3000.jpg,3099.jpg,13
3000.jpg,3100.jpg,2
3000.jpg,3101.jpg,140
3000.jpg,3102.jpg,251
3000.jpg,3103.jpg,378
3000.jpg,3104.jpg,228
3000.jpg,3105.jpg,1
3000.jpg,3106.jpg,16
3000.jpg,3107.jpg,10
3000.jpg,3108.jpg,3
3000.jpg,3109.jpg,12
3000.jpg,3110.jpg,2
3000.jpg,3111.jpg,19
3000.jpg,3112.jpg,0
3000.jpg,3113.jpg,3
3000.jpg,3114.jpg,257
3000.jpg,3115.jpg,16
3000.jpg,3116.jpg,8
3000.jpg,3117.jpg,10
3000.jpg,3118.jpg,29
3000.jpg,3119.jpg,13
3000.jpg,3120.jpg,6
3000.jpg,3121.jpg,0
3000.jpg,3122.jpg,0
3000.jpg,3123.jpg,5
3000.jpg,3124.jpg,12
3000.jpg,3125.jpg,9
3000.jpg,3126.jpg,0
3000.jpg,3127.jpg,6
3000.jpg,3128.jpg,11
3000.jpg,3129.jpg,10
3000.jpg,3130.jpg,0
3000.jpg,3131.jpg,376
3000.jpg,3132.jpg,7
3000.jpg,3133.jpg,85
3000.jpg,3134.jpg,7
3000.jpg,3135.jpg,1
3000.jpg,3136.jpg,251
3000.jpg,3137.jpg,7
3000.jpg,3138.jpg,56
3000.jpg,3139.jpg,2
3000.jpg,3140.jpg,10
3000.jpg,3141.jpg,0
3000.jpg,3142.jpg,12
3000.jpg,3143.jpg,472
3000.jpg,3144.jpg,5
3000.jpg,3145.jpg,0
3000.jpg,3146.jpg,252
3000.jpg,3147.jpg,13
3000.jpg,3148.jpg,122
3000.jpg,3149.jpg,2
3000.jpg,3150.jpg,3
3000.jpg,3151.jpg,7
3000.jpg,3152.jpg,14
3000.jpg,3153.jpg,0
3000.jpg,3154.jpg,7
3000.jpg,3155.jpg,2
3000.jpg,3156.jpg,8
3000.jpg,3157.jpg,7
3000.jpg,3158.jpg,12
3000.jpg,3159.jpg,5
3000.jpg,3160.jpg,1
3000.jpg,3161.jpg,61
3000.jpg,3162.jpg,16
3000.jpg,3163.jpg,0
3000.jpg,3164.jpg,2
3000.jpg,3165.jpg,1
3000.jpg,3166.jpg,13
3000.jpg,3167.jpg,4
3000.jpg,3168.jpg,5
3000.jpg,3169.jpg,1
3000.jpg,3170.jpg,2
3000.jpg,3171.jpg,9
3000.jpg,3172.jpg,11
3000.jpg,3173.jpg,11
3000.jpg,3174.jpg,328
3000.jpg,3175.jpg,13
3000.jpg,3176.jpg,10
3000.jpg,3177.jpg,1
3000.jpg,3178.jpg,1
3000.jpg,3179.jpg,3
3000.jpg,3180.jpg,1
3000.jpg,3181.jpg,1
3000.jpg,3182.jpg,6
3000.jpg,3183.jpg,78
3000.jpg,3184.jpg,5
3000.jpg,3185.jpg,3
3000.jpg,3186.jpg,83
3000.jpg,3187.jpg,12
3000.jpg,3188.jpg,443
3000.jpg,3189.jpg,9
3000.jpg,3190.jpg,2
3000.jpg,3191.jpg,5
3000.jpg,3192.jpg,92
3000.jpg,3193.jpg,2
3000.jpg,3194.jpg,7
3000.jpg,3195.jpg,11
3000.jpg,3196.jpg,11
3000.jpg,3197.jpg,8
3000.jpg,3198.jpg,5
3000.jpg,3199.jpg,25
3001.jpg,3000.jpg,1
3001.jpg,3001.jpg,0
3001.jpg,3002.jpg,10
3001.jpg,3003.jpg,402
3001.jpg,3004.jpg,10
3001.jpg,3005.jpg,1
3001.jpg,3006.jpg,1
3001.jpg,3007.jpg,17
3001.jpg,3008.jpg,1
3001.jpg,3009.jpg,2
3001.jpg,3010.jpg,4
3001.jpg,3011.jpg,0
3001.jpg,3012.jpg,12
3001.jpg,3013.jpg,6
